"subid","trial","offer_other","offer_self","RT","dec","emotion","party"
"128","39","7","13","0.312","0","3","3"
"128","40","10","10","0.299","0","1","3"
"109","1","2","18","0.722","1","2","3"
"109","2","4","16","1.466","2","2","3"
"109","3","4","16","0.934","0","3","3"
"109","4","10","10","0.691","0","1","3"
"109","5","2","18","0.797","0","3","3"
"109","6","7","13","2.235","0","3","3"
"109","7","2","18","1.072","0","3","3"
"109","8","10","10","1.008","0","1","3"
"109","9","7","13","0.595","1","2","3"
"109","10","7","13","0.805","1","2","3"
"109","11","10","10","0.574","0","1","3"
"109","12","4","16","0.804","0","3","3"
"109","13","10","10","0.902","0","1","3"
"109","14","10","10","0.694","0","1","3"
"109","15","4","16","0.993","1","2","3"
"109","16","2","18","1.122","2","2","3"
"109","17","2","18","0.918","0","3","3"
"109","18","7","13","0.607","0","3","3"
"109","19","7","13","1.220","1","2","3"
"109","20","2","18","2.869","2","3","3"
"109","21","4","16","0.674","0","3","3"
"109","22","10","10","0.625","0","1","3"
"109","23","10","10","1.054","0","1","3"
"109","24","4","16","0.596","1","2","3"
"109","25","7","13","0.984","0","3","3"
"109","26","2","18","0.860","2","2","3"
"109","27","4","16","0.628","1","2","3"
"109","28","2","18","0.519","0","3","3"
"109","29","7","13","0.393","1","2","3"
"109","30","10","10","0.490","0","1","3"
"109","31","7","13","0.502","0","3","3"
"109","32","4","16","0.643","1","2","3"
"109","33","7","13","1.227","1","2","3"
"109","34","10","10","2.678","1","1","3"
"109","35","4","16","0.502","0","3","3"
"109","36","2","18","0.512","2","2","3"
"109","37","10","10","0.710","0","1","3"
"109","38","4","16","0.444","0","3","3"
"109","39","7","13","0.556","0","3","3"
"109","40","2","18","0.458","2","2","3"
"109","1","10","10","0.451","0","1","2"
"109","2","7","13","0.788","1","2","2"
"109","3","7","13","0.977","0","2","2"
"109","4","10","10","0.726","0","1","2"
"109","5","4","16","0.430","0","3","2"
"109","6","2","18","0.666","1","2","2"
"109","7","2","18","1.460","1","2","2"
"109","8","7","13","0.652","0","3","2"
"109","9","7","13","0.502","0","3","2"
"109","10","2","18","1.787","0","3","2"
"109","11","2","18","1.620","0","3","2"
"109","12","4","16","0.645","1","2","2"
"109","13","4","16","1.113","1","2","2"
"109","14","4","16","0.511","0","3","2"
"109","15","2","18","0.516","1","2","2"
"109","16","2","18","1.290","1","2","2"
"109","17","2","18","0.493","0","3","2"
"109","18","10","10","0.253","0","1","2"
"109","19","7","13","0.494","0","3","2"
"109","20","4","16","0.446","0","3","2"
"109","21","4","16","0.803","1","2","2"
"109","22","7","13","0.650","0","3","2"
"109","23","10","10","0.695","0","1","2"
"109","24","4","16","1.931","1","2","2"
"109","25","7","13","0.779","0","3","2"
"109","26","2","18","1.564","0","3","2"
"109","27","10","10","1.448","0","1","2"
"109","28","2","18","0.745","0","3","2"
"109","29","10","10","1.231","0","1","2"
"109","30","4","16","0.610","0","3","2"
"109","31","7","13","2.047","0","2","2"
"109","32","10","10","0.510","0","1","2"
"109","33","10","10","0.771","0","1","2"
"109","34","2","18","0.684","0","2","2"
"109","35","4","16","0.549","1","2","2"
"109","36","4","16","0.558","0","3","2"
"109","37","10","10","1.914","0","1","2"
"109","38","10","10","0.435","0","1","2"
"109","39","7","13","0.539","1","2","2"
"109","40","7","13","1.902","1","2","2"
"109","1","4","16","0.872","0","3","3"
"109","2","2","18","1.550","1","2","3"
"109","3","2","18","1.113","0","3","3"
"109","4","2","18","1.203","0","3","3"
"109","5","4","16","0.583","1","2","3"
"109","6","7","13","0.558","1","2","3"
"109","7","10","10","0.425","0","1","3"
"109","8","7","13","0.583","1","2","3"
"109","9","4","16","0.693","0","3","3"
"109","10","10","10","1.492","0","1","3"
"109","11","10","10","0.702","0","1","3"
"109","12","4","16","0.494","1","2","3"
"109","13","10","10","0.629","0","1","3"
"109","14","2","18","0.833","2","2","3"
"109","15","7","13","0.835","0","3","3"
"109","16","7","13","1.596","0","3","3"
"109","17","4","16","1.248","1","2","3"
"109","18","2","18","0.553","0","3","3"
"109","19","2","18","0.881","2","2","3"
"109","20","7","13","0.710","1","2","3"
"109","21","10","10","0.442","0","1","3"
"109","22","2","18","2.000","0","3","3"
"109","23","4","16","0.798","0","3","3"
"109","24","2","18","1.579","1","3","3"
"109","25","7","13","1.439","0","2","3"
"109","26","10","10","2.077","0","1","3"
"109","27","10","10","0.818","0","1","3"
"109","28","4","16","1.728","0","2","3"
"109","29","7","13","1.025","0","3","3"
"109","30","7","13","0.000","0","2","3"
"109","31","10","10","0.490","0","1","3"
"109","32","4","16","2.459","0","3","3"
"109","33","10","10","0.789","0","1","3"
"109","34","4","16","1.176","1","2","3"
"109","35","7","13","1.776","0","3","3"
"109","36","2","18","0.881","1","2","3"
"109","37","2","18","0.000","0","2","3"
"109","38","4","16","0.430","0","3","3"
"109","39","7","13","1.232","0","3","3"
"109","40","10","10","1.037","0","1","3"
"109","1","10","10","0.943","0","1","2"
"109","2","2","18","0.853","1","2","2"
"109","3","7","13","0.741","0","2","2"
"109","4","4","16","0.000","0","3","2"
"109","5","2","18","0.743","0","3","2"
"109","6","2","18","2.130","1","2","2"
"109","7","2","18","0.792","1","3","2"
"109","8","4","16","1.349","0","2","2"
"109","9","7","13","1.321","0","2","2"
"109","10","4","16","0.722","0","3","2"
"109","11","7","13","1.014","0","3","2"
"109","12","2","18","0.000","0","3","2"
"109","13","10","10","1.732","0","1","2"
"109","14","7","13","0.511","0","3","2"
"109","15","4","16","0.711","1","2","2"
"109","16","2","18","0.734","1","2","2"
"109","17","2","18","0.498","1","2","2"
"109","18","10","10","0.000","0","1","2"
"109","19","4","16","0.498","0","3","2"
"109","20","4","16","1.110","0","2","2"
"109","21","10","10","0.584","0","1","2"
"109","22","10","10","2.733","0","1","2"
"109","23","2","18","1.320","0","3","2"
"109","24","7","13","0.944","0","3","2"
"109","25","7","13","0.000","0","3","2"
